date	edited_by	job	researched_by	source	state	statement	subjects	truth
2009-10-06	Greg Joyce		Robert Farley	Michael Moore		"During the Reagan era, ""the richest Americans had their top income tax rate cut in half."""	['Taxes']	4
2009-10-05	Bill Adair		Catharine Richert	EnergyCitizens.org		"The cap-and-trade bill will mean ""2 million jobs lost."""	['Cap and Trade', 'Climate Change', 'Energy', 'Environment']	2
2009-10-05	Greg Joyce	None	Aaron Sharockman	Barney Bishop	Florida	"""There's no evidence anywhere that offshore drilling has hurt tourism in any area where it has been allowed."""	['Energy', 'Environment']	1
2009-10-05	Greg Joyce	Democrat	Aaron Sharockman	Bill Nelson	Florida	"""The truth is any oil that would be drilled could be sent to any other country in the world, reducing our use of foreign oil not by one single drop."""	['Energy', 'Environment', 'Foreign Policy']	3
2009-10-02	Bill Adair		Louis Jacobson	Michael Moore		All the talk about socialism during the campaign made young people more interested in it by Election Day.	['Economy']	1
2009-10-02	Bill Adair		Robert Farley	Michael Moore		"In the 1950s,  ""A lot of people got rich — and they had to pay a top tax rate of 90 percent."""	['Taxes']	4
2009-10-01	Bill Adair		Robert Farley	Michael Moore		"""The majority actually want single-payer health care."""	['Health Care']	1
2009-10-01	Bill Adair		Angie Drobnic Holan	Michael Moore		"After Fahrenheit 9/11 came out, ""Bush's approval rating never was better, it only got worse."""	['Elections']	2
2009-10-01	Bill Adair		Louis Jacobson	Michael Moore		"""The richest 1 percent have more financial wealth than the bottom 95 percent combined."""	['Economy', 'Poverty', 'Workers']	4
2009-09-30	Bill Adair		Catharine Richert	EnergyCitizens.org		Gas will reach $4 a gallon under a cap-and-trade plan.	['Cap and Trade', 'Climate Change', 'Energy', 'Environment']	2
2009-09-30	Bill Adair		Angie Drobnic Holan	House Republican Conference		Medicare officials have treated Humana and AARP inconsistently on how they can communicate with seniors.	['Health Care', 'Medicare']	1
2009-09-30	Bill Adair	Journalist	Robert Farley	Steve Doocy	New York	"White House Political Director Patrick Gaspard once served as the ""right-hand man"" for Bertha Lewis, who heads up ACORN."	['Pundits']	1
2009-09-29	Bill Adair	Republican	Angie Drobnic Holan	Ginny Brown-Waite	Florida	"AARP is ""the largest reseller of insurance in the country"" and ""has a vested interest in seeing that the market for reselling supplemental insurance expands."""	['Health Care', 'Legal Issues', 'Medicare']	3
2009-09-29	Bill Adair	None	Louis Jacobson	Patients First	Washington, D.C.	"""Health care mandate will require imprisonment and fines for Americans who can’t afford to purchase insurance or pay hefty government penalties."""	['Health Care', 'Legal Issues', 'Taxes']	2
2009-09-29	Bill Adair	Republican	Ian Jannetta	Sarah Palin	Alaska	"""The Defense Department received only one-half of 1 percent of the nearly trillion-dollar stimulus package funding."""	['Military', 'Stimulus']	4
2009-09-28	Bill Adair		Robert Farley	Chain email		"""For the first time in history, the Democratic Congress will not allow an increase in the social security COLA (cost of living adjustment)."""	['Social Security']	0
2009-09-28	Bill Adair		Angie Drobnic Holan	Republican National Committee		"Barack Obama and the Democrats have ""proposed a tax for not having health insurance."""	['Health Care', 'Taxes']	5
2009-09-28	Bill Adair	Democrat	Catharine Richert	Steny Hoyer	Maryland	"""House Republicans pledged to introduce a bill to reform America’s health care system,"" but ""the 'party of no' has . . . failed to produce legislation."""	['Health Care']	3
2009-09-25	Bill Adair	Republican	Robert Farley	Michael Steele	Maryland	"In a now-viral video, ""impressionable youngsters at a public school in New Jersey ... have been instructed to sing the praises of 'Barack Hussein Obama.'"""	['Education']	5
2009-09-25	Bill Adair		Angie Drobnic Holan	Michael Moore		"Goldman Sachs was Barack Obama's ""No. 1 private contributor."""	['Elections', 'Regulation']	5
2009-09-25	Bill Adair		Louis Jacobson	Sean Hannity		"The Obama administration is ""cutting back on defense"""	['Military', 'Pundits']	3
2009-09-24	Bill Adair	Democrat	Angie Drobnic Holan	Barack Obama	Illinois	"""Medicare does just as good, if not better, at keeping people healthy"" as Medicare Advantage."	['Health Care', 'Medicare']	3
2009-09-23	Bill Adair		Robert Farley	Sean Hannity		"""Our own National Security Agency says that (Iran's) nuclear ambitions are advancing, and at the same time ... we are slashing our own nuclear arsenal."""	['Military', 'Pundits']	4
2009-09-22	Bill Adair	Democrat	Angie Drobnic Holan	Barack Obama	Illinois	"""FDR was called a socialist and a communist."""	['History']	5
2009-09-22	Greg Joyce	Democrat	Louis Jacobson	Bruce Braley	Iowa	"""Recent census data shows that the average American family spends over $13,000 a year for health care coverage."""	['Health Care']	1
2009-09-21	Bill Adair		Robert Farley	National Right to Life Committee		"""Under the Baucus bill ... federal funds would subsidize coverage of elective abortions."""	['Abortion', 'Health Care']	1
2009-09-21	Bill Adair		Robert Farley	National Right to Life Committee		"The Baucus bill ""contains provisions that would send massive federal subsidies directly to both private insurance plans and government-chartered cooperatives that pay for elective abortion."""	['Abortion', 'Health Care']	5
2009-09-21	Bill Adair	Democrat	Catharine Richert	Michelle Obama	Illinois	"""In some states, it is still legal to deny a woman coverage because she's been the victim of domestic violence."""	['Health Care']	5
2009-09-20	Bill Adair	Democrat	Angie Drobnic Holan, Catharine Richert	Barack Obama	Illinois	"Families are paying $900, on average, ""in higher premiums because of uncompensated care."""	['Health Care']	3
2009-09-20	Greg Joyce	Democrat	Bill Adair	Barack Obama	Illinois	"""Mathematically, the White Sox can still get in the playoffs."""	['Baseball']	5
2009-09-18	Bill Adair		Catharine Richert	Lamar Alexander		"The Obama administration's cap-and-trade plan would create ""a $1,761 yearly energy tax."""	['Cap and Trade', 'Climate Change', 'Energy', 'Environment']	1
2009-09-18	Bill Adair	None	Louis Jacobson	Health Care for America Now	Washington, D.C.	"Health insurance companies deny ""1 out of 5 treatments prescribed by doctors."""	['Health Care']	1
2009-09-17	Bill Adair	Democrat	Louis Jacobson	Barack Obama	Illinois	"Insurers delayed an Illinois man's treatment, ""and he died because of it."""	['Health Care']	1
2009-09-17	Bill Adair		Angie Drobnic Holan	Keith Olbermann		"For middle-class families under the Baucus plan, ""13 percent of what they make could be deducted directly from their paychecks . . . the so-called 'Max Tax.'"""	['Health Care', 'Pundits', 'Taxes']	3
2009-09-17	Bill Adair	Republican	Robert Farley, Angie Drobnic Holan	Karl Rove	Texas	Obama used to be a lawyer for ACORN.	['Candidate Biography']	3
2009-09-16	Bill Adair	None	Louis Jacobson	Health Care for America Now	Washington, D.C.	Health insurance companies pay CEOs $24 million a year	['Corporations', 'Health Care']	2
2009-09-16	Bill Adair	Republican	Angie Drobnic Holan	Tom Price	Georgia	"""Medicare began as a public option and now holds 97 percent of the market share."""	['Health Care', 'Medicare']	4
2009-09-16	Greg Joyce	Republican	Catharine Richert	John Boehner	Ohio	The House of Representatives has never passed a resolution of disapproval to condemn a member's behavior.	['History']	4
2009-09-15	Bill Adair	Democrat	Louis Jacobson	Howard Dean	Vermont	"""Every other democracy in the world has a health care system that covers everybody, and we don't."""	['Health Care']	1
2009-09-15	Bill Adair		Ian Jannetta	Thomas Sowell		"The Obama administration ""was successful in rushing a massive spending bill through Congress in just two days — after which it sat on the president's desk for three days, while he was away on vacation."""	['Economy', 'Health Care', 'Pundits']	1
2009-09-14	Bill Adair	None	Louis Jacobson	Paul Hipp	New York	The U.S. ranks 37th in the world for health care.	['Health Care']	4
2009-09-14	Bill Adair		Catharine Richert	Bloggers		"Photo of ""tea party"" protests shows crowd sprawling from Capitol to Washington Monument"	['History']	0
2009-09-11	Bill Adair	Republican	Robert Farley	Charles Boustany	Louisiana	"The Democratic health care bill in the House would ""create 53 new government bureaucracies."""	['Health Care']	2
2009-09-11	Bill Adair	Republican	Louis Jacobson	John Boehner	Ohio	"As a candidate, President Obama ""declared that everyone deserves access to reproductive health care that includes abortion, and vowed that this 'right' would be at the heart of his health care reform plan if elected president."""	['Abortion', 'Health Care']	5
2009-09-11	Bill Adair		Angie Drobnic Holan	Chain email		"A new bill ""was written into the new health care reform initiative ensuring that Congress will be 100 percent exempt."""	['Health Care']	1
2009-09-10	Bill Adair		Louis Jacobson	House Republican Conference		"""Nothing in any of the Democrat bills would require individuals to verify their citizenship or identity prior to receiving taxpayer-subsidized benefits."""	['Health Care', 'Immigration']	3
2009-09-10	Bill Adair	Democrat	Angie Drobnic Holan	Barack Obama	Illinois	"Health reform will ""give every American the same opportunity"" to buy health insurance the way members of Congress do."	['Health Care']	1
2009-09-09	Bill Adair	Republican	Angie Drobnic Holan	Joe Wilson	South Carolina	"""You lie!"" (in response to President Obama saying health reform would not insure illegal immigrants.)"	['Health Care', 'Immigration']	1
2009-09-09	Bill Adair	Democrat	Robert Farley	Barack Obama	Illinois	"""It’s a plan that incorporates ideas from many of the people in this room tonight – Democrats and Republicans."""	['Health Care']	2
2009-09-09	Bill Adair	Democrat	Angie Drobnic Holan, Louis Jacobson	Barack Obama	Illinois	"""The claim ... that we plan to set up panels of bureaucrats with the power to   kill off senior citizens ... is a lie, plain and simple."""	['Health Care']	5
2009-09-09	Bill Adair	Democrat	Catharine Richert	Barack Obama	Illinois	"Preventive care ""saves money."""	['Health Care']	1
2009-09-09	Bill Adair	Democrat	Angie Drobnic Holan	Barack Obama	Illinois	"If you ""already have health insurance through your job, or Medicare, or Medicaid, or the VA, nothing in this plan will require you or your employer to change the coverage or the doctor you have."""	['Health Care']	5
2009-09-09	Bill Adair	None	Louis Jacobson	Matt Miller	California	"""Switzerland and the Netherlands . . .  cover all their citizens using private insurers, and they do so for much less cost."""	['Health Care']	5
2009-09-08	Bill Adair	Republican	Louis Jacobson	John Carter	Texas	"""The Obama Administration's own White House Council of Economic Advisers has estimated 4.7 million Americans will lose their jobs if the (health care) bill passes."""	['Health Care', 'Taxes']	1
2009-09-08	Bill Adair		John Frank	Glenn Beck		"Van Jones ""is an avowed, self-avowed radical revolutionary communist."""	['Environment', 'Pundits']	2
2009-09-08	Bill Adair		Angie Drobnic Holan	Glenn Beck		"Van Jones signed a petition indicating he ""thinks the Bush administration blew up the World Trade Center and covered it up."""	['Pundits', 'Terrorism']	3
2009-09-08	Bill Adair		Robert Farley	Rush Limbaugh		"The government is ""going to have the right to get into your bank account with the health care bill and make transfers without you knowing it."""	['Health Care', 'Pundits']	2
2009-09-04	Bill Adair	Republican	Robert Farley	Duncan Hunter	California	"""We waterboard, incidentally, hundreds of our own military personnel. They waterboard themselves in training to toughen themselves up."""	['Military']	4
2009-09-03	Bill Adair	Democrat	Angie Drobnic Holan	Arne Duncan	Illinois	"A scheduled speech by President Barack Obama will be ""the first time an American president has spoken directly to the nation's school children about persisting and succeeding in school."""	['Education']	1
2009-09-03	Bill Adair		Lukas Pleva	Investor's Business Daily		"""Cap-and-trade is wildly unpopular with Americans."""	['Cap and Trade', 'Climate Change', 'Energy', 'Environment']	1
2009-09-03	Bill Adair	Republican	Louis Jacobson	Haley Barbour	Mississippi	"""It took Obama six months to pick out a family dog,"" but he's ""cramming health care reform down the country's throat in a fraction of that time."""	['Health Care']	2
2009-09-02	Bill Adair	Democrat	Catharine Richert	John Kerry	Massachusetts	"""Scientists project that the Arctic will be ice-free in the summer of 2013."""	['Climate Change', 'Environment']	2
2009-09-02	Bill Adair		Angie Drobnic Holan	Organizing for America		"Over the past few months, we've learned that ""we just can't count on the media to debunk"" lies about health insurance reform."	['Health Care', 'Pundits']	0
2009-09-02	Bill Adair		Angie Drobnic Holan	Republican Party of Florida		"Schoolchildren across the nation ""will be forced to watch the president justify his plans for government-run health care, banks, and automobile companies, increasing taxes on those who create jobs, and racking up more debt than any other president."""	['Education']	0
